symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ZNF436,3,3,2,2,4,1,2,4,5,4,2,2,3,3,1,3,3,7,4,0,9,4,2,2,4,3,1,2,5,3,4,2,4,10,3,3,3,13,2,3
ZNF44,1,0,0,0,1,1,1,1,1,1,0,1,2,3,0,1,1,2,0,0,2,1,0,1,1,1,1,0,1,1,0,0,3,2,0,1,2,1,1,0
ZNF440,2,0,0,0,1,0,1,2,4,1,0,2,3,8,0,1,2,3,1,0,4,1,1,1,2,0,0,0,1,3,3,3,3,1,0,1,5,1,4,0
ZNF442,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF443,2,0,0,0,1,0,1,1,2,0,0,2,1,3,0,2,1,3,1,0,2,1,0,0,1,1,1,0,0,2,0,0,1,0,0,1,0,1,0,0
ZNF45,2,2,5,1,3,1,3,3,1,2,2,4,3,5,4,3,4,12,4,2,5,4,2,3,2,2,6,4,6,5,3,4,7,5,3,4,3,4,4,5
ZNF454,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF460,0,1,0,0,0,0,1,3,1,0,1,0,0,3,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,5,1,0,1,0,6,1,0,5,0,0
ZNF461,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,1,2,1,0,2,3,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,2,1,1
ZNF468,2,0,0,0,2,2,2,3,4,3,1,6,4,9,0,3,3,7,2,2,4,1,6,2,3,2,1,1,4,1,0,2,9,3,0,3,5,3,3,3
ZNF470,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,2,1,0,0,0,1,0,0
ZNF471,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0
ZNF473,1,0,3,0,3,0,2,5,3,1,2,2,4,4,2,3,2,4,3,1,2,1,4,2,4,2,1,3,1,3,2,2,2,2,3,4,2,2,4,3
ZNF480,5,5,8,5,5,4,2,2,2,3,1,7,4,0,5,5,5,7,4,5,6,3,6,3,6,7,2,5,3,4,3,6,9,5,2,4,4,2,6,9
ZNF490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF506,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,2,0,0,0,0,1,1,0,1,2,0,0,2,1,0,3,2,1,0,0
ZNF510,2,1,2,1,2,0,3,2,2,1,0,3,3,5,1,2,2,2,2,2,3,3,1,1,1,1,1,1,1,2,1,1,3,3,2,3,2,6,1,2
ZNF514,3,3,2,3,2,2,2,2,6,4,0,1,4,4,4,2,3,2,4,1,18,2,1,3,1,1,1,0,2,4,1,2,4,1,1,4,2,4,2,1
ZNF516,4,2,0,4,0,2,2,6,7,5,1,0,0,2,4,3,1,1,1,2,0,4,1,1,0,3,2,2,1,6,4,4,3,1,0,1,1,4,3,3
