kegg_gene,gene_num
FRAS1,917
FRAT1,918
FRAT2,919
FREM1,920
FRMD1,921
FRMD6,922
FRS2,923
FST,924
FTH1,925
FTL,926
FXR1,927
FXR2,928
FXYD1,929
FXYD2,930
FXYD4,931
FYB1,932
FYN,933
FZD1,934
FZD10,935
FZD2,936
FZD3,937
FZD4,938
FZD5,939
FZD6,940
FZD7,941
FZD8,942
FZD9,943
FZR1,944
G6PC3,945
GAB1,946
GAB2,947
GABARAP,948
GABBR1,949
GABBR2,950
GABRA1,951
GABRA2,952
GABRA4,953
GABRA5,954
GABRB1,955
GABRB2,956
GABRB3,957
GABRD,958
GABRG3,959
GABRP,960
GADD45A,961
GADD45B,962
GADD45G,963
GAL,964
GALR1,965
GALR2,966
GALR3,967
GAPDH,968
GAS1,969
GAS6,970
GATA3,971
GATA4,972
GCGR,973
GCK,974
GDF1,975
GDF10,976
GDF11,977
GDF5,978
GDF6,979
GDF7,980
GDF9,981
GEMIN2,982
GEMIN4,983
GEMIN5,984
GEMIN7,985
GFAP,986
GH1,987
GHR,988
GHRL,989
GHSR,990
GIT1,991
GIT2,992
GJD2,993
GLI1,994
GLI2,995
GLI3,996
GLP1R,997
GLS,998
GLS2,999
GNA11,1000
GNA12,1001
GNA13,1002
GNA14,1003
GNA15,1004
GNAI1,1005
GNAI2,1006
GNAI3,1007
GNAL,1008
GNAO1,1009
GNAQ,1010
GNAS,1011
GNAT1,1012
GNAZ,1013
GNB1,1014
GNB2,1015
GNB3,1016
GNB4,1017
GNB5,1018
GNG10,1019
GNG11,1020
GNG13,1021
GNG4,1022
GNG5,1023
GNG7,1024
GNG8,1025
GNGT2,1026
GOSR2,1027
GP1BA,1028
GP1BB,1029
GP9,1030
GPAA1,1031
GPC1,1032
GPER1,1033
GPR161,1034
GPR83,1035
GPSM1,1036
GRB10,1037
GRB2,1038
GREM1,1039
GRIA1,1040
GRIA2,1041
GRIA4,1042
GRIN1,1043
GRIN2A,1044
GRIN2B,1045
GRIN2C,1046
GRIN2D,1047
GRIN3A,1048
GRIN3B,1049
GRK1,1050
GRK2,1051
GRK3,1052
GRK4,1053
GRK5,1054
GRK6,1055
GRK7,1056
GRM1,1057
GRM2,1058
GRM3,1059
GRM4,1060
GRM8,1061
GRP,1062
GSDMD,1063
GSK3A,1064
GSK3B,1065
GSN,1066
GSPT1,1067
GSTA4,1068
GSTM1,1069
GSTM4,1070
GSTM5,1071
GSTO1,1072
GSTO2,1073
GSTP1,1074
GTF2I,1075
GTF2IRD1,1076
GTSE1,1077
GUCY2D,1078
GYS1,1079
HAP1,1080
HBEGF,1081
HBS1L,1082
HCAR1,1083
HCK,1084
HCRT,1085
HCRTR1,1086
HDAC1,1087
HDAC2,1088
HDAC3,1089
HDAC4,1090
HDAC5,1091
HES1,1092
HES2,1093
HES4,1094
HES5,1095
HES6,1096
HES7,1097
HEY1,1098
HEY2,1099
HEYL,1100
HGS,1101
HHEX,1102
HHIP,1103
HIF1A,1104
HIP1,1105
HIPK1,1106
HIPK2,1107
HIPK3,1108
HK1,1109
HKDC1,1110
HLA-B,1111
HLA-C,1112
HLA-DPA1,1113
HLA-E,1114
HLA-F,1115
HMGA2,1116
HMGB1,1117
HMGCR,1118
HMGCS1,1119
HMOX1,1120
HNF1B,1121
HNF4A,1122
HOMER1,1123
HOMER2,1124
HOMER3,1125
HOXD10,1126
HPSE,1127
HPSE2,1128
HRAS,1129
HRH1,1130
HRH2,1131
HRK,1132
HSD17B8,1133
HSF1,1134
HSP90AA1,1135
HSP90AB1,1136
HSP90B1,1137
HSPA1A,1138
HSPA1B,1139
HSPA1L,1140
HSPA2,1141
HSPA4,1142
HSPA5,1143
HSPA6,1144
HSPA8,1145
HSPA9,1146
HSPG2,1147
HTR1A,1148
HTR1B,1149
HTR1E,1150
HTR1F,1151
HTR2A,1152
HTR5A,1153
HTR6,1154
HTR7,1155
HTRA2,1156
HTT,1157
HUS1,1158
ICAM1,1159
ICAM2,1160
ID1,1161
ID2,1162
ID4,1163
IFIH1,1164
IFNAR1,1165
IFNAR2,1166
IFNGR1,1167
IFNGR2,1168
IFNLR1,1169
IGF1R,1170
IGF2,1171
IGF2BP1,1172
IGFALS,1173
IGFBP3,1174
IGSF11,1175
IHH,1176
IKBKB,1177
IL10RA,1178
IL10RB,1179
IL11,1180
IL11RA,1181
IL12A,1182
IL12B,1183
IL12RB1,1184
IL13,1185
IL15,1186
IL15RA,1187
IL17B,1188
IL17D,1189
IL17RA,1190
IL17RB,1191
IL17RC,1192
IL18R1,1193
IL1R1,1194
IL1RAP,1195
IL1RL2,1196
IL1RN,1197
IL20RA,1198
IL20RB,1199
IL22RA1,1200
IL27,1201
IL27RA,1202
IL2RB,1203
IL3,1204
IL31,1205
IL33,1206
IL4R,1207
IL6R,1208
IL6ST,1209
ILK,1210
INHA,1211
INHBB,1212
INS,1213
INSR,1214
INSRR,1215
INVS,1216
IQGAP1,1217
IQGAP2,1218
IQGAP3,1219
IRAK2,1220
IRAK3,1221
IRAK4,1222
IRF1,1223
IRF3,1224
IRF4,1225
IRF5,1226
IRF7,1227
IRF8,1228
IRGM,1229
IRS1,1230
IRS2,1231
ITCH,1232
ITGA1,1233
ITGA11,1234
ITGA2,1235
ITGA3,1236
ITGA4,1237
ITGA5,1238
ITGA6,1239
ITGA7,1240
ITGA9,1241
ITGAV,1242
ITGAX,1243
ITGB1,1244
ITGB2,1245
ITGB3,1246
ITGB4,1247
ITGB5,1248
ITGB8,1249
ITPR1,1250
ITPR2,1251
ITPR3,1252
JAG1,1253
JAG2,1254
JAK1,1255
JAK2,1256
JAK3,1257
JAM3,1258
JMJD7-PLA2G4B,1259
JUN,1260
JUNB,1261
JUND,1262
JUP,1263
KAT2A,1264
KCNE1,1265
KCNJ1,1266
KCNJ11,1267
KCNJ12,1268
KCNJ2,1269
KCNJ3,1270
KCNJ4,1271
KCNJ5,1272
KCNJ6,1273
KCNK2,1274
KCNK3,1275
KCNK9,1276
KCNMA1,1277
KCNMB3,1278
KCNMB4,1279
KCNN1,1280
KCNN2,1281
KCNN3,1282
KCNQ1,1283
KDM1A,1284
KDM3A,1285
KDM3B,1286
KDR,1287
KEAP1,1288
KIDINS220,1289
KIF3A,1290
KIF5B,1291
KIF5C,1292
KIF7,1293
KISS1,1294
KISS1R,1295
KIT,1296
KITLG,1297
